IndividualRate,PlanId_2015,FIPSCode,RatingAreaId
301.25,16842FL0070120,12077,Rating Area 38
280.68,16842FL0070120,12079,Rating Area 39
289.23,16842FL0070120,12081,Rating Area 40
276.57,16842FL0070120,12083,Rating Area 41
300.62,16842FL0070120,12085,Rating Area 42
367.39,16842FL0070120,12086,Rating Area 43
401.57,16842FL0070120,12087,Rating Area 44
329.74,16842FL0070120,12089,Rating Area 45
297.77,16842FL0070120,12091,Rating Area 46
321.19,16842FL0070120,12093,Rating Area 47
326.26,16842FL0070120,12095,Rating Area 48
325.94,16842FL0070120,12097,Rating Area 49
336.06,16842FL0070120,12099,Rating Area 50
314.55,16842FL0070120,12101,Rating Area 51
314.86,16842FL0070120,12103,Rating Area 52
