IndividualRate,PlanId_2015,FIPSCode,RatingAreaId
273.84,16842FL0120076,12033,Rating Area 16
232.42,16842FL0120076,12045,Rating Area 22
248.19,16842FL0120076,12053,Rating Area 26
272.91,16842FL0120076,12055,Rating Area 27
250.04,16842FL0120076,12057,Rating Area 28
255.3,16842FL0120076,12061,Rating Area 30
246.02,16842FL0120076,12069,Rating Area 34
246.64,16842FL0120076,12083,Rating Area 41
271.68,16842FL0120076,12085,Rating Area 42
328.85,16842FL0120076,12086,Rating Area 43
240.46,16842FL0120076,12091,Rating Area 46
282.8,16842FL0120076,12095,Rating Area 48
291.46,16842FL0120076,12097,Rating Area 49
311.86,16842FL0120076,12099,Rating Area 50
258.39,16842FL0120076,12101,Rating Area 51
263.33,16842FL0120076,12103,Rating Area 52
304.44,16842FL0120076,12105,Rating Area 53
280.33,16842FL0120076,12109,Rating Area 58
278.78,16842FL0120076,12113,Rating Area 55
271.68,16842FL0120076,12115,Rating Area 56
300.11,16842FL0120076,12117,Rating Area 57
236.75,16842FL0120076,12119,Rating Area 60
264.88,16842FL0120076,12131,Rating Area 66
252.69,16842FL0120033,12003,Rating Area 2
223.27,16842FL0120033,12005,Rating Area 3
250.1,16842FL0120033,12009,Rating Area 5
307.21,16842FL0120033,12011,Rating Area 6
248.65,16842FL0120033,12015,Rating Area 8
244.33,16842FL0120033,12017,Rating Area 9
244.61,16842FL0120033,12019,Rating Area 10
256.15,16842FL0120033,12021,Rating Area 11
246.06,16842FL0120033,12031,Rating Area 15
255.58,16842FL0120033,12033,Rating Area 16
216.92,16842FL0120033,12045,Rating Area 22
231.63,16842FL0120033,12053,Rating Area 26
254.71,16842FL0120033,12055,Rating Area 27
233.36,16842FL0120033,12057,Rating Area 28
238.27,16842FL0120033,12061,Rating Area 30
229.61,16842FL0120033,12069,Rating Area 34
230.19,16842FL0120033,12083,Rating Area 41
253.56,16842FL0120033,12085,Rating Area 42
306.92,16842FL0120033,12086,Rating Area 43
224.42,16842FL0120033,12091,Rating Area 46
263.94,16842FL0120033,12095,Rating Area 48
272.02,16842FL0120033,12097,Rating Area 49
291.06,16842FL0120033,12099,Rating Area 50
241.15,16842FL0120033,12101,Rating Area 51
245.77,16842FL0120033,12103,Rating Area 52
284.13,16842FL0120033,12105,Rating Area 53
261.63,16842FL0120033,12109,Rating Area 58
260.19,16842FL0120033,12113,Rating Area 55
253.56,16842FL0120033,12115,Rating Area 56
280.1,16842FL0120033,12117,Rating Area 57
220.96,16842FL0120033,12119,Rating Area 60
247.21,16842FL0120033,12131,Rating Area 66
247.71,16842FL0120076,12003,Rating Area 2
218.87,16842FL0120076,12005,Rating Area 3
245.17,16842FL0120076,12009,Rating Area 5
301.16,16842FL0120076,12011,Rating Area 6
243.75,16842FL0120076,12015,Rating Area 8
239.51,16842FL0120076,12017,Rating Area 9
239.8,16842FL0120076,12019,Rating Area 10
251.11,16842FL0120076,12021,Rating Area 11
241.21,16842FL0120076,12031,Rating Area 15
250.54,16842FL0120076,12033,Rating Area 16
212.65,16842FL0120076,12045,Rating Area 22
227.07,16842FL0120076,12053,Rating Area 26
249.69,16842FL0120076,12055,Rating Area 27
228.77,16842FL0120076,12057,Rating Area 28
233.57,16842FL0120076,12061,Rating Area 30
225.09,16842FL0120076,12069,Rating Area 34
225.66,16842FL0120076,12083,Rating Area 41
248.56,16842FL0120076,12085,Rating Area 42
300.88,16842FL0120076,12086,Rating Area 43
220,16842FL0120076,12091,Rating Area 46
258.74,16842FL0120076,12095,Rating Area 48
266.66,16842FL0120076,12097,Rating Area 49
285.32,16842FL0120076,12099,Rating Area 50
236.4,16842FL0120076,12101,Rating Area 51
240.93,16842FL0120076,12103,Rating Area 52
278.54,16842FL0120076,12105,Rating Area 53
256.48,16842FL0120076,12109,Rating Area 58
255.07,16842FL0120076,12113,Rating Area 55
248.56,16842FL0120076,12115,Rating Area 56
274.58,16842FL0120076,12117,Rating Area 57
216.61,16842FL0120076,12119,Rating Area 60
242.34,16842FL0120076,12131,Rating Area 66
228.18,16842FL0120072,12003,Rating Area 2
201.61,16842FL0120072,12005,Rating Area 3
225.83,16842FL0120072,12009,Rating Area 5
277.41,16842FL0120072,12011,Rating Area 6
224.53,16842FL0120072,12015,Rating Area 8
220.62,16842FL0120072,12017,Rating Area 9
220.88,16842FL0120072,12019,Rating Area 10
231.3,16842FL0120072,12021,Rating Area 11
222.19,16842FL0120072,12031,Rating Area 15
230.78,16842FL0120072,12033,Rating Area 16
195.88,16842FL0120072,12045,Rating Area 22
209.16,16842FL0120072,12053,Rating Area 26
230,16842FL0120072,12055,Rating Area 27
210.72,16842FL0120072,12057,Rating Area 28
215.15,16842FL0120072,12061,Rating Area 30
207.34,16842FL0120072,12069,Rating Area 34
207.86,16842FL0120072,12083,Rating Area 41
228.96,16842FL0120072,12085,Rating Area 42
277.15,16842FL0120072,12086,Rating Area 43
202.65,16842FL0120072,12091,Rating Area 46
238.33,16842FL0120072,12095,Rating Area 48
245.63,16842FL0120072,12097,Rating Area 49
262.82,16842FL0120072,12099,Rating Area 50
217.76,16842FL0120072,12101,Rating Area 51
221.92,16842FL0120072,12103,Rating Area 52
256.57,16842FL0120072,12105,Rating Area 53
236.25,16842FL0120072,12109,Rating Area 58
234.95,16842FL0120072,12113,Rating Area 55
228.96,16842FL0120072,12115,Rating Area 56
252.92,16842FL0120072,12117,Rating Area 57
199.52,16842FL0120072,12119,Rating Area 60
223.23,16842FL0120072,12131,Rating Area 66
189.7,16842FL0120044,12003,Rating Area 2
167.61,16842FL0120044,12005,Rating Area 3
187.75,16842FL0120044,12009,Rating Area 5
230.63,16842FL0120044,12011,Rating Area 6
